id,source,target,target_type,
124,Pricing of Products in Each Configuration,Design/Development,2,
133,Status in HDP of Product,Design/Development,2,
105,Customization Requests by Product Category,Design/Development,2,
106,Part Number,Design/Development,2,
107,Part Supplier,Design/Development,2,
108,Narrative of Test Results / Observations,Design/Development,2,
109,Narrative of Summary of Test Results,Design/Development,2,
110,Tools Used for Test,Design/Development,2,
111,Project Number,Design/Development,2,
112,Project Name,Design/Development,2,
113,Employee Creating Request,Design/Development,2,
114,Employee Approving Request,Design/Development,2,
115,Purpose of Test,Design/Development,2,
116,Test Request Number,Design/Development,2,
117,Test Status,Design/Development,2,
118,BaaN Project Number,Design/Development,2,
119,Baan Department,Design/Development,2,
120,Project Number,Design/Development,2,
121,Project Department,Design/Development,2,
122,Test Classification,Design/Development,2,
210,Ranking of Organization Structure,Sales,2,
211,Ranking of Work Processes,Sales,2,
212,Ranking of Work Location,Sales,2,
213,Ranking of Interactions,Sales,2,
214,Ranking of Individual Work,Sales,2,
215,Ranking of Group Work,Sales,2,
221,Ranking of Seating Products to Each Work Setting,Sales,2,
222,Square Feet Needed for Designed Configuration,Sales,2,
223,Anticipated Landscape Types by Year to 2020,Sales,2,
224,Anticipated Setting breakdown by Year to 2020,Sales,2,
225,Spatial Recipe by Setting,Sales,2,
226,Technology Needed For Setting,Sales,2,
25,Strategic Objective - Intuitive Adaptation,Sales,2,
26,Strategic Objective - Ultimate Settings,Sales,2,
27,Strategic Objective - Exceptional Accessories,Sales,2,
28,Strategic Objective - Living Office Workplace Expertise,Sales,2,
29,Projected Year 4 Sales for Product in Development,Sales,2,
30,Level of Innovation for Product in Development,Sales,2,
31,Anticipated Buzz Level of Product in Development,Sales,2,
32,Name of Product in Developent,Sales,2,
39,Product Adjacencies - Seating Idea Starters by Living Office Setting,Sales,2,
132,Anticipated Launch Date for Product in Development,Sales,2,
134,Projected Living Office Readiness,Sales,2,
135,Dealer Living Office Readiness,Sales,2,
42,CAD Drawings,Sales,2,
33,Number of Engineers Assigned to Each Product,Product Management,2,
34,Status of Each Task in Development Project,Product Management,2,
35,Core Issues and Resolutions for Each Product,Product Management,2,
36,Revenue Plan by Product,Product Management,2,
43,Lessons Learned in Development Process,Product Management,2,
133,Status in HDP of Product,Product Management,2,
106,Part Number,Product Management,2,
107,Part Supplier,Product Management,2,
108,Narrative of Test Results / Observations,Product Management,2,
109,Narrative of Summary of Test Results,Product Management,2,
110,Tools Used for Test,Product Management,2,
111,Project Number,Product Management,2,
112,Project Name,Product Management,2,
113,Employee Creating Request,Product Management,2,
114,Employee Approving Request,Product Management,2,
115,Purpose of Test,Product Management,2,
116,Test Request Number,Product Management,2,
117,Test Status,Product Management,2,
118,BaaN Project Number,Product Management,2,
119,Baan Department,Product Management,2,
120,Project Number,Product Management,2,
121,Project Department,Product Management,2,
122,Test Classification,Product Management,2,
45,Projected Total Investment Required for Project,Design/Development,2,
46,Projected Gross Margin for Project,Design/Development,2,
47,Projected 10 Year MVA for Project,Design/Development,2,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Design/Development,2,
49,Project Problem Statement,Design/Development,2,
50,Customer Needs met by Project,Design/Development,2,
51,Strategic Needs Satisfied by Project,Design/Development,2,
52,Project Positioning Statement,Design/Development,2,
53,Project Key Market Based Product Criteria,Design/Development,2,
54,Project Points of Differentiation,Design/Development,2,
55,Project Vocabulary,Design/Development,2,
56,Project Competitive Assessment,Design/Development,2,
57,Project Competitive Cost Comparisons,Design/Development,2,
58,Project Cost Target,Design/Development,2,
59,Project Cost Estimate,Design/Development,2,
60,Project Design Challenges,Design/Development,2,
61,Project ID,Design/Development,2,
62,Project Status - Project in Trouble,Design/Development,2,
63,Project Status - Project Stage,Design/Development,2,
64,Project Status - Next Gate for Project,Design/Development,2,
65,Projected Budget for Month by Project,Design/Development,2,
66,Actual Budget for Month by Project,Design/Development,2,
67,Date of Next Milestone for Project,Design/Development,2,
68,Projected 5 Year MVA Cumulative,Design/Development,2,
69,Total Investment Needed by Project,Design/Development,2,
70,Development Expense by Project,Design/Development,2,
77,Project Financial Status,Design/Development,2,
78,Project Operations Status,Design/Development,2,
79,Project Market Opportunity,Design/Development,2,
82,Projected Gross Margin,Design/Development,2,
83,Projected EVA,Design/Development,2,
84,Projected 5 Year MVA Cumulative,Design/Development,2,
85,Recommended Capital Investment by Project,Design/Development,2,
86,Recommended Expense Investment by Project,Design/Development,2,
87,Projected Year 1 Sales,Design/Development,2,
88,Projected 5 Year Sales,Design/Development,2,
89,Projected Total Investment,Design/Development,2,
90,Projected Gross Margin,Design/Development,2,
91,Projected 5 Year Operating Income,Design/Development,2,
92,Projected 5 Year MVA Cumulative,Design/Development,2,
93,Narrative of Project Design Principles,Design/Development,2,
94,Narrative of Product Concept,Design/Development,2,
95,Market Opportunity Analysis,Design/Development,2,
98,Resource Plan - Full Time Engineers Required,Design/Development,2,
99,Narrative of Project Design/ Engineering Risks,Design/Development,2,
101,Narrative of Project Operations Risk,Design/Development,2,
102,Narrative of Project Financial Risks,Design/Development,2,
186,Names of Teams Engaged in Project Design Process,Design/Development,2,
187,Capacity - Total Headcount Needed for Current Project,Design/Development,2,
188,Capacity - Total Headcount Available,Design/Development,2,
11,Sales - Gross,Design/Development,2,
12,Sales - % Change,Design/Development,2,
13,Margin - Gross,Design/Development,2,
14,Margin - % Change,Design/Development,2,
15,Direct Opex - Gross,Design/Development,2,
16,Direct Opex - % Change,Design/Development,2,
17,Direct Op Income - Gross,Design/Development,2,
18,Direct Op Income - % Change,Design/Development,2,
19,Spend on Warranty - Gross,Design/Development,2,
20,Spend on Warranty - % Change,Design/Development,2,
21,Royalty - Gross,Design/Development,2,
22,Royalty - % Change,Design/Development,2,
23,Direct Op Income - Gross,Design/Development,2,
24,Direct Op Income - % Change,Design/Development,2,
71,Market Launch Expense,Design/Development,2,
73,Start Order Entry,Design/Development,2,
74,12 Month Sales Forecast,Design/Development,2,
76,Market Launch Status,Design/Development,2,
80,Project Value Proposition,Design/Development,2,
81,Projected Annual Net Sales,Design/Development,2,
96,Market Criteria,Design/Development,2,
97,Market Launch Plan (which Showrooms),Design/Development,2,
100,Narrative of Project Marketing Risks,Design/Development,2,
72,Target Product Cost,Design/Development,2,
75,Product Development Status,Design/Development,2,
25,Strategic Objective - Intuitive Adaptation,Research,2,
26,Strategic Objective - Ultimate Settings,Research,2,
27,Strategic Objective - Exceptional Accessories,Research,2,
28,Strategic Objective - Living Office Workplace Expertise,Research,2,
29,Projected Year 4 Sales for Product in Development,Research,2,
30,Level of Innovation for Product in Development,Research,2,
31,Anticipated Buzz Level of Product in Development,Research,2,
32,Name of Product in Developent,Research,2,
132,Anticipated Launch Date for Product in Development,Research,2,
134,Projected Living Office Readiness,Research,2,
135,Dealer Living Office Readiness,Research,2,
11,Sales - Gross,Research,2,
12,Sales - % Change,Research,2,
13,Margin - Gross,Research,2,
14,Margin - % Change,Research,2,
15,Direct Opex - Gross,Research,2,
16,Direct Opex - % Change,Research,2,
17,Direct Op Income - Gross,Research,2,
18,Direct Op Income - % Change,Research,2,
19,Spend on Warranty - Gross,Research,2,
20,Spend on Warranty - % Change,Research,2,
21,Royalty - Gross,Research,2,
22,Royalty - % Change,Research,2,
23,Direct Op Income - Gross,Research,2,
24,Direct Op Income - % Change,Research,2,
42,CAD Drawings,Product Management,2,
45,Projected Total Investment Required for Project,Product Management,2,
46,Projected Gross Margin for Project,Product Management,2,
47,Projected 10 Year MVA for Project,Product Management,2,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Product Management,2,
49,Project Problem Statement,Product Management,2,
50,Customer Needs met by Project,Product Management,2,
51,Strategic Needs Satisfied by Project,Product Management,2,
52,Project Positioning Statement,Product Management,2,
53,Project Key Market Based Product Criteria,Product Management,2,
54,Project Points of Differentiation,Product Management,2,
55,Project Vocabulary,Product Management,2,
56,Project Competitive Assessment,Product Management,2,
57,Project Competitive Cost Comparisons,Product Management,2,
58,Project Cost Target,Product Management,2,
59,Project Cost Estimate,Product Management,2,
60,Project Design Challenges,Product Management,2,
61,Project ID,Product Management,2,
62,Project Status - Project in Trouble,Product Management,2,
63,Project Status - Project Stage,Product Management,2,
64,Project Status - Next Gate for Project,Product Management,2,
65,Projected Budget for Month by Project,Product Management,2,
66,Actual Budget for Month by Project,Product Management,2,
67,Date of Next Milestone for Project,Product Management,2,
68,Projected 5 Year MVA Cumulative,Product Management,2,
69,Total Investment Needed by Project,Product Management,2,
70,Development Expense by Project,Product Management,2,
77,Project Financial Status,Product Management,2,
78,Project Operations Status,Product Management,2,
79,Project Market Opportunity,Product Management,2,
82,Projected Gross Margin,Product Management,2,
83,Projected EVA,Product Management,2,
84,Projected 5 Year MVA Cumulative,Product Management,2,
85,Recommended Capital Investment by Project,Product Management,2,
86,Recommended Expense Investment by Project,Product Management,2,
87,Projected Year 1 Sales,Product Management,2,
88,Projected 5 Year Sales,Product Management,2,
89,Projected Total Investment,Product Management,2,
90,Projected Gross Margin,Product Management,2,
91,Projected 5 Year Operating Income,Product Management,2,
92,Projected 5 Year MVA Cumulative,Product Management,2,
93,Narrative of Project Design Principles,Product Management,2,
94,Narrative of Product Concept,Product Management,2,
95,Market Opportunity Analysis,Product Management,2,
98,Resource Plan - Full Time Engineers Required,Product Management,2,
99,Narrative of Project Design/ Engineering Risks,Product Management,2,
101,Narrative of Project Operations Risk,Product Management,2,
102,Narrative of Project Financial Risks,Product Management,2,
186,Names of Teams Engaged in Project Design Process,Product Management,2,
187,Capacity - Total Headcount Needed for Current Project,Product Management,2,
188,Capacity - Total Headcount Available,Product Management,2,
71,Market Launch Expense,Product Management,2,
73,Start Order Entry,Product Management,2,
74,12 Month Sales Forecast,Product Management,2,
76,Market Launch Status,Product Management,2,
80,Project Value Proposition,Product Management,2,
81,Projected Annual Net Sales,Product Management,2,
96,Market Criteria,Product Management,2,
97,Market Launch Plan (which Showrooms),Product Management,2,
100,Narrative of Project Marketing Risks,Product Management,2,
72,Target Product Cost,Product Management,2,
75,Product Development Status,Product Management,2,
73,Start Order Entry,Sales,2,
74,12 Month Sales Forecast,Sales,2,
76,Market Launch Status,Sales,2,
80,Project Value Proposition,Sales,2,
81,Projected Annual Net Sales,Sales,2,
96,Market Criteria,Sales,2,
97,Market Launch Plan (which Showrooms),Sales,2,
11,Sales - Gross,Product Management,2,
12,Sales - % Change,Product Management,2,
13,Margin - Gross,Product Management,2,
14,Margin - % Change,Product Management,2,
15,Direct Opex - Gross,Product Management,2,
16,Direct Opex - % Change,Product Management,2,
17,Direct Op Income - Gross,Product Management,2,
18,Direct Op Income - % Change,Product Management,2,
19,Spend on Warranty - Gross,Product Management,2,
20,Spend on Warranty - % Change,Product Management,2,
21,Royalty - Gross,Product Management,2,
22,Royalty - % Change,Product Management,2,
23,Direct Op Income - Gross,Product Management,2,
24,Direct Op Income - % Change,Product Management,2,
42,CAD Drawings,Marketing,2,
25,Strategic Objective - Intuitive Adaptation,Design/Development,2,
26,Strategic Objective - Ultimate Settings,Design/Development,2,
27,Strategic Objective - Exceptional Accessories,Design/Development,2,
28,Strategic Objective - Living Office Workplace Expertise,Design/Development,2,
29,Projected Year 4 Sales for Product in Development,Design/Development,2,
30,Level of Innovation for Product in Development,Design/Development,2,
31,Anticipated Buzz Level of Product in Development,Design/Development,2,
32,Name of Product in Developent,Design/Development,2,
132,Anticipated Launch Date for Product in Development,Design/Development,2,
134,Projected Living Office Readiness,Design/Development,2,
135,Dealer Living Office Readiness,Design/Development,2,
11,Sales - Gross,Time,3,
12,Sales - % Change,Time,3,
13,Margin - Gross,Time,3,
14,Margin - % Change,Time,3,
15,Direct Opex - Gross,Time,3,
16,Direct Opex - % Change,Time,3,
17,Direct Op Income - Gross,Time,3,
18,Direct Op Income - % Change,Time,3,
19,Spend on Warranty - Gross,Time,3,
20,Spend on Warranty - % Change,Time,3,
21,Royalty - Gross,Time,3,
22,Royalty - % Change,Time,3,
23,Direct Op Income - Gross,Time,3,
24,Direct Op Income - % Change,Time,3,
45,Projected Total Investment Required for Project,Time,3,
46,Projected Gross Margin for Project,Time,3,
47,Projected 10 Year MVA for Project,Time,3,
48,Projected Total Sales Impact (5 Year Cumulative) for Project,Time,3,
49,Project Problem Statement,Time,3,
230,Budget for Dealer Projects,Time,3,
231,Budget for Events Projects,Time,3,
232,Budget for General Projects,Time,3,
233,Budget for Markating Projects,Time,3,
234,Budget for Sales Project,Time,3,
235,Spend on Dealer Projects,Time,3,
236,Spend on Events Projects,Time,3,
237,Spend on General Projects,Time,3,
238,Spend on Marketing Projects,Time,3,
239,Spend on Sales Projects,Time,3,
240,Spend on Sales Projects by Region,Time,3,
241,Budget for Sales Projects by Region,Time,3,
242,Sales by Year by Region,Time,3,
243,Planned Sales by Year by Region,Time,3,
244,Planned Market Share by Year by Region,Time,3,
245,Actual Market Share by Year by Region,Time,3,
246,Expected Market Share Growth by Year by Region,Time,3,
247,Sales by Year by MSA,Time,3,
248,Planned Sales by Year by MSA,Time,3,
249,Planned Market Share by Year by MSA,Time,3,
250,Actual Market Share by Year by MSA,Time,3,
251,Expected Market Share Growth by Year by MSA,Time,3,
252,Customer Satisfaction Survey,Time,3,
282,Sales Per Year to End Customer,Time,3,
159,Sales vs Plan by MSA Region,Time,3,
253,Dealer Code - Unique Identiifier,Time,3,
254,MSA Code - Unique Identifier,Time,3,
255,Region Code - Unique Identifier,Time,3,
256,Dealer Sales Volume,Time,3,
257,Dealer Potential Sales Volume,Time,3,
258,Dealer Sales Goal,Time,3,
259,Individual Assigned to MSA,Time,3,
260,Number of Dealers by MSA,Time,3,
261,Number of Dealers by Region,Time,3,
262,Forecast Sales by Region,Time,3,
263,Actual Sales by Region,Time,3,
264,Forecast Volume by Region,Time,3,
265,Actual Volume by Region,Time,3,
266,Projected Size of Anticipated Customer Wins,Time,3,
267,Notable Customer Wins,Time,3,
268,Notable Customer Losses,Time,3,
269,Global Accounts Sales Target,Time,3,
270,Global Accounts Actual Sales,Time,3,
271,Current Non-Dealer Opportunity - Owner Name,Time,3,
272,Current Non-Dealer Opportunity - Customer Name,Time,3,
273,Current Non-Dealer Opportunity - Region,Time,3,
274,Current Non-Dealer Opportunity - Stage,Time,3,
275,Current Non-Dealer Opportunity - Win Probability,Time,3,
276,Product Family Sales by Region,Time,3,
277,Product Family Planned Sales by Region,Time,3,
278,Product Family Margin by Region,Time,3,
279,Product Family Planned Margin by Region,Time,3,
280,Product Family Discounts by Region,Time,3,
281,Product Family Planned Discounts by Region,Time,3,
283,Job Title of Respondant,Time,3,
284,Region of Respondant,Time,3,
285,Company Size of Respondant,Time,3,
286,Aesthetic/Importance to Company of Respondant,Time,3,
287,Degree to Which Technology is Having an Impact on Respondant's Company,Time,3,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Time,3,
289,Top Drivers of Change for Workplace Portfolio at Respondant's Company,Time,3,
290,Percent of Workplace Reconfigured Annually at Respondant's Company,Time,3,
291,Where Respondant Obtains Workplace Ideas,Time,3,
292,Most Important Things in Creating Workplaces Three Years From Now,Time,3,
293,Tools Company Offers to Let Teams Collaborate Virtually,Time,3,
38,Performance Environments - Chair Occupancy,Time,3,
145,Performance Environments - Room Occupancy,Time,3,
5,HermanMiller.com Page Views by Product,Time,3,
6,Number of Views for each Web Asset on HermanMiller.com by Associated Product,Time,3,
7,Top Web Assets Downloaded from HermanMiller.com by Category,Time,3,
8,Top Brochures Shipped by Product,Time,3,
9,Top Brochures Shipped - Workstations,Time,3,
10,Top Brochures Shipped - Storage,Time,3,
130,Page accessed first after HermanMiller.com home page,Time,3,
4,Most Searched Words on HermanMiller.com,Time,3,
125,Paid Search Criteria – Google Ad Words,Time,3,
126,HermanMiller.com Page Views,Time,3,
127,HermanMiller.com Page Views,Time,3,
128,Device Used to Access HermanMiller.com,Time,3,
129,% New Users Accessing HermanMiller.com,Time,3,
131,Number of iPad App Portal Downloads,Time,3,
201,Count of File Formats for Downloaded Product Brochures,Time,3,
204,Number of Page Views by City,Time,3,
205,Number of Users by City,Time,3,
161,Room Motion Sensor Activity,Time,3,
162,Laptop Plugged In to presentation system,Time,3,
163,Presentation system turned on,Time,3,
164,Meeting Logs - Rooms,Time,3,
165,Meeting Logs - People,Time,3,
166,Meeting Logs - Scheduler,Time,3,
169,Email Logs,Time,3,
170,Documents Shared Externally,Time,3,
190,Website Traffic Composition by State by page on site,Region,3,
222,Square Feet Needed for Designed Configuration,Product Line,3,
226,Technology Needed For Setting,Product Line,3,
219,Pricing for Product Line by Setting by Size,Product Line,3,
220,Gross Margin for Product Line by Setting by Size,Product Line,3,
202,Average Product Downloads per User,Product Line,3,
203,Pageviews by Setting,Product Line,3,
73,Start Order Entry,Product,3,
74,12 Month Sales Forecast,Product,3,
76,Market Launch Status,Product,3,
80,Project Value Proposition,Product,3,
81,Projected Annual Net Sales,Product,3,
96,Market Criteria,Product,3,
97,Market Launch Plan (which Showrooms),Product,3,
42,CAD Drawings,Product,3,
25,Strategic Objective - Intuitive Adaptation,Product,3,
26,Strategic Objective - Ultimate Settings,Product,3,
27,Strategic Objective - Exceptional Accessories,Product,3,
28,Strategic Objective - Living Office Workplace Expertise,Product,3,
29,Projected Year 4 Sales for Product in Development,Product,3,
30,Level of Innovation for Product in Development,Product,3,
31,Anticipated Buzz Level of Product in Development,Product,3,
32,Name of Product in Developent,Product,3,
132,Anticipated Launch Date for Product in Development,Product,3,
134,Projected Living Office Readiness,Product,3,
135,Dealer Living Office Readiness,Product,3,
50,Customer Needs met by Project,Product,3,
51,Strategic Needs Satisfied by Project,Product,3,
52,Project Positioning Statement,Product,3,
53,Project Key Market Based Product Criteria,Product,3,
54,Project Points of Differentiation,Product,3,
55,Project Vocabulary,Product,3,
56,Project Competitive Assessment,Product,3,
57,Project Competitive Cost Comparisons,Product,3,
58,Project Cost Target,Product,3,
59,Project Cost Estimate,Product,3,
60,Project Design Challenges,Product,3,
61,Project ID,Product,3,
62,Project Status - Project in Trouble,Product,3,
63,Project Status - Project Stage,Product,3,
64,Project Status - Next Gate for Project,Product,3,
65,Projected Budget for Month by Project,Product,3,
66,Actual Budget for Month by Project,Product,3,
67,Date of Next Milestone for Project,Product,3,
68,Projected 5 Year MVA Cumulative,Product,3,
69,Total Investment Needed by Project,Product,3,
70,Development Expense by Project,Product,3,
77,Project Financial Status,Product,3,
78,Project Operations Status,Product,3,
79,Project Market Opportunity,Product,3,
82,Projected Gross Margin,Product,3,
83,Projected EVA,Product,3,
84,Projected 5 Year MVA Cumulative,Product,3,
85,Recommended Capital Investment by Project,Product,3,
86,Recommended Expense Investment by Project,Product,3,
87,Projected Year 1 Sales,Product,3,
88,Projected 5 Year Sales,Product,3,
89,Projected Total Investment,Product,3,
90,Projected Gross Margin,Product,3,
91,Projected 5 Year Operating Income,Product,3,
92,Projected 5 Year MVA Cumulative,Product,3,
93,Narrative of Project Design Principles,Product,3,
94,Narrative of Product Concept,Product,3,
95,Market Opportunity Analysis,Product,3,
98,Resource Plan - Full Time Engineers Required,Product,3,
99,Narrative of Project Design/ Engineering Risks,Product,3,
101,Narrative of Project Operations Risk,Product,3,
102,Narrative of Project Financial Risks,Product,3,
186,Names of Teams Engaged in Project Design Process,Product,3,
71,Market Launch Expense,Product,3,
100,Narrative of Project Marketing Risks,Product,3,
72,Target Product Cost,Product,3,
75,Product Development Status,Product,3,
221,Ranking of Seating Products to Each Work Setting,Product,3,
223,Anticipated Landscape Types by Year to 2020,Product,3,
224,Anticipated Setting breakdown by Year to 2020,Product,3,
225,Spatial Recipe by Setting,Product,3,
33,Number of Engineers Assigned to Each Product,Product,3,
34,Status of Each Task in Development Project,Product,3,
35,Core Issues and Resolutions for Each Product,Product,3,
36,Revenue Plan by Product,Product,3,
43,Lessons Learned in Development Process,Product,3,
133,Status in HDP of Product,Product,3,
106,Part Number,Product,3,
107,Part Supplier,Product,3,
108,Narrative of Test Results / Observations,Product,3,
109,Narrative of Summary of Test Results,Product,3,
110,Tools Used for Test,Product,3,
111,Project Number,Product,3,
112,Project Name,Product,3,
113,Employee Creating Request,Product,3,
114,Employee Approving Request,Product,3,
115,Purpose of Test,Product,3,
116,Test Request Number,Product,3,
117,Test Status,Product,3,
118,BaaN Project Number,Product,3,
119,Baan Department,Product,3,
120,Project Number,Product,3,
121,Project Department,Product,3,
122,Test Classification,Product,3,
207,Historic Transactional Information,Product,3,
41,Shipment Growth by MSA Region by Year,Product,3,
103,Total Sales by Product SKU,Product,3,
104,Total Sales by Data or Order,Product,3,
147,Sales Quantity by Month by Manufacturing Cell,Product,3,
152,Target Sales by MSA Region by Year,Product,3,
153,Target Sales by MSA Region by Segment by Year,Product,3,
216,Price Points for Each Product Line,Product,3,
217,Suitability of Each Product Line to Each Setting,Product,3,
218,Suitability of Individual Products by Setting,Product,3,
136,% Respondents Able to Complete Tasks Online,Product,3,
137,Website User Satisfaction,Product,3,
138,Website Uptime,Product,3,
142,Online Generated Leads,Product,3,
206,Work Products by Pricepoint,Product,3,
160,Requested Screen Resolution,Product,3,
123,List of Products that Belong in Each Configuration,Product,3,
124,Pricing of Products in Each Configuration,Product,3,
105,Customization Requests by Product Category,Product,3,
187,Capacity - Total Headcount Needed for Current Project,Employee,3,
188,Capacity - Total Headcount Available,Employee,3,
167,Meeting Logs - Joined by Phone,Employee,3,
168,Shared Documents,Employee,3,
208,Historic Sales by Sales Representative,Dealer,3,
209,Historic Sales by Dealer,Dealer,3,
227,Dealer Sales Goal Sales,Dealer,3,
228,Dealer Projected Total Sales,Dealer,3,
229,Dealer YTD Total Sales,Dealer,3,
157,Product Margin of Dealer Compared to Average Dealer by MSA Region,Dealer,3,
158,Dealer Discounting compared to average dealer discounting by MSA Region,Dealer,3,
189,Nielsen Segment Analysis,Customer Segment,3,
191,Website Traffic Gender Composition by Page,Customer Segment,3,
192,Website Traffic Age Composition by Page,Customer Segment,3,
193,Website Traffic by Income by Page,Customer Segment,3,
194,Website Traffic by Net Worth by Page,Customer Segment,3,
195,Website Traffic by Career Status by Page,Customer Segment,3,
196,Website Traffic Top 5 Occupations by Page,Customer Segment,3,
197,Website Traffic by Housing Attribute (Home Owners / Renters) by Page,Customer Segment,3,
198,Website Traffic Length of Residence at Current address by Page,Customer Segment,3,
199,Website Traffic Top 5 Auto Make by Page,Customer Segment,3,
200,Website Traffic Top 4 Psychographies by Page,Customer Segment,3,
1,Records of Meetings Attended,Customer Segment,3,
2,Records of Emails Sent (Sender and Recipients),Customer Segment,3,
3,Records of Documents Shared (Author and Recipients),Customer Segment,3,
210,Ranking of Organization Structure,Customer,3,
211,Ranking of Work Processes,Customer,3,
212,Ranking of Work Location,Customer,3,
213,Ranking of Interactions,Customer,3,
214,Ranking of Individual Work,Customer,3,
215,Ranking of Group Work,Customer,3,
39,Product Adjacencies - Seating Idea Starters by Living Office Setting,Customer,3,
44,Customer Opportunity Products,Customer,3,
40,Growth by MSA Region by Year,Customer,3,
146,List of Top Customers by MSA Region,Customer,3,
148,Top Potential Customers by MSA Region,Customer,3,
149,Market Size by MSA Region by Year,Customer,3,
150,Potential Sales by MSA Region by Year,Customer,3,
151,Shipments by MSA Region by Year,Customer,3,
154,Number of Employees at each Customer,Customer,3,
155,Ranking of Each Customer Nationally,Customer,3,
156,Potential Sales for Projected Per Customer,Customer,3,
172,Customer Name,Customer,3,
173,Customer ID,Customer,3,
174,Customer Address,Customer,3,
175,Customer Annual Revenue,Customer,3,
176,Customer Number of Employees,Customer,3,
177,Customer Opportunity ID,Customer,3,
178,Customer Opportunity Name,Customer,3,
179,Customer Opportunity Description,Customer,3,
180,Customer Opportunity Value,Customer,3,
181,Years HM has had relaitonship with customer,Customer,3,
182,Customer Sales Region,Customer,3,
183,Customer NAICs Code,Customer,3,
184,Customer Jigsaw company ID,Customer,3,
185,Customer Duns Company ID,Customer,3,
37,Total Number of Online Sales,Customer,3,
139,Customer Personas,Customer,3,
140,Brand Awareness by Consumer Segments,Customer,3,
141,Brand Sentiment by Consumer Segments,Customer,3,
143,Self Service Usage,Customer,3,
144,Total Number of Online Accounts,Customer,3,
171,Website Satisfaction - HermanMiller.com,Customer,3,
74,12 Month Sales Forecast,Time,3,
76,Market Launch Status,Time,3,
81,Projected Annual Net Sales,Time,3,
29,Projected Year 4 Sales for Product in Development,Time,3,
30,Level of Innovation for Product in Development,Time,3,
31,Anticipated Buzz Level of Product in Development,Time,3,
132,Anticipated Launch Date for Product in Development,Time,3,
134,Projected Living Office Readiness,Time,3,
135,Dealer Living Office Readiness,Time,3,
64,Project Status - Next Gate for Project,Time,3,
65,Projected Budget for Month by Project,Time,3,
66,Actual Budget for Month by Project,Time,3,
67,Date of Next Milestone for Project,Time,3,
68,Projected 5 Year MVA Cumulative,Time,3,
70,Development Expense by Project,Time,3,
77,Project Financial Status,Time,3,
78,Project Operations Status,Time,3,
79,Project Market Opportunity,Time,3,
82,Projected Gross Margin,Time,3,
83,Projected EVA,Time,3,
84,Projected 5 Year MVA Cumulative,Time,3,
87,Projected Year 1 Sales,Time,3,
88,Projected 5 Year Sales,Time,3,
89,Projected Total Investment,Time,3,
90,Projected Gross Margin,Time,3,
91,Projected 5 Year Operating Income,Time,3,
92,Projected 5 Year MVA Cumulative,Time,3,
71,Market Launch Expense,Time,3,
75,Product Development Status,Time,3,
33,Number of Engineers Assigned to Each Product,Time,3,
34,Status of Each Task in Development Project,Time,3,
35,Core Issues and Resolutions for Each Product,Time,3,
36,Revenue Plan by Product,Time,3,
43,Lessons Learned in Development Process,Time,3,
133,Status in HDP of Product,Time,3,
104,Total Sales by Data or Order,Time,3,
147,Sales Quantity by Month by Manufacturing Cell,Time,3,
136,% Respondents Able to Complete Tasks Online,Time,3,
137,Website User Satisfaction,Time,3,
138,Website Uptime,Time,3,
123,List of Products that Belong in Each Configuration,Time,3,
124,Pricing of Products in Each Configuration,Time,3,
187,Capacity - Total Headcount Needed for Current Project,Time,3,
188,Capacity - Total Headcount Available,Time,3,
227,Dealer Sales Goal Sales,Time,3,
228,Dealer Projected Total Sales,Time,3,
229,Dealer YTD Total Sales,time,3,
157,Product Margin of Dealer Compared to Average Dealer by MSA Region,Time,3,
156,Potential Sales for Projected Per Customer,Time,3,
181,Years HM has had relaitonship with customer,Time,3,
240,Spend on Sales Projects by Region,Region,3,
241,Budget for Sales Projects by Region,Region,3,
242,Sales by Year by Region,Region,3,
243,Planned Sales by Year by Region,Region,3,
244,Planned Market Share by Year by Region,Region,3,
245,Actual Market Share by Year by Region,Region,3,
246,Expected Market Share Growth by Year by Region,Region,3,
282,Sales Per Year to End Customer,Region,3,
159,Sales vs Plan by MSA Region,Region,3,
255,Region Code - Unique Identifier,Region,3,
261,Number of Dealers by Region,Region,3,
262,Forecast Sales by Region,Region,3,
263,Actual Sales by Region,Region,3,
264,Forecast Volume by Region,Region,3,
265,Actual Volume by Region,Region,3,
266,Projected Size of Anticipated Customer Wins,Region,3,
267,Notable Customer Wins,Region,3,
268,Notable Customer Losses,Region,3,
271,Current Non-Dealer Opportunity - Owner Name,Region,3,
272,Current Non-Dealer Opportunity - Customer Name,Region,3,
273,Current Non-Dealer Opportunity - Region,Region,3,
274,Current Non-Dealer Opportunity - Stage,Region,3,
275,Current Non-Dealer Opportunity - Win Probability,Region,3,
283,Job Title of Respondant,Region,3,
284,Region of Respondant,Region,3,
285,Company Size of Respondant,Region,3,
286,Aesthetic/Importance to Company of Respondant,Region,3,
287,Degree to Which Technology is Having an Impact on Respondant's Company,Region,3,
288,Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Region,3,
289,Top Drivers of Change for Workplace Portfolio at Respondant's Company,Region,3,
290,Percent of Workplace Reconfigured Annually at Respondant's Company,Region,3,
291,Where Respondant Obtains Workplace Ideas,Region,3,
