source,target,value,,,,
Product Margin of Dealer Compared to Average Dealer by MSA Region,Time,1,,,,
Years HM has had relaitonship with customer,Time,1,,,,
Capacity - Total Headcount Needed for Current Project,Time,1,,,,
Capacity - Total Headcount Available,Time,1,,,,
Dealer Sales Goal Sales,Time,1,,,,
Dealer Projected Total Sales,Time,1,,,,
Dealer YTD Total Sales,time,1,,,,
Growth by MSA Region by Year,Time,1,,,,
Shipment Growth by MSA Region by Year,Time,1,,,,
Project Status - Project in Trouble,Time,1,,,,
Project Status - Project Stage,Time,1,,,,
Self Service Usage,Time,1,,,,
Total Number of Online Accounts,Time,1,,,,
Market Size by MSA Region by Year,Time,1,,,,
Potential Sales by MSA Region by Year,Time,1,,,,
Shipments by MSA Region by Year,Time,1,,,,
Target Sales by MSA Region by Year,Time,1,,,,
Target Sales by MSA Region by Segment by Year,Time,1,,,,
Customer Opportunity Value,Time,1,,,,
Names of Teams Engaged in Project Design Process,Time,1,,,,
