Name,Location (System),Frequency Updated,Frequency Used,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,People,Product,Place,Image Key
MSA Code - Unique Identifier,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,MSA,,,,1,,33
Region Code - Unique Identifier,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,,,,1,,33
Dealer Sales Volume,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Dealer,,,,1,,33
Dealer Potential Sales Volume,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Dealer,,,,1,,33
Dealer Sales Goal,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Dealer,,,,1,,33
Individual Assigned to MSA,Customer and Sales Database,Annually,Annually,Sales,,,,Time,MSA,Employee,,,1,,34
Number of Dealers by MSA,Customer and Sales Database,Annually,Annually,Sales,,,,Time,MSA,,,,1,,34
Number of Dealers by Region,Customer and Sales Database,Annually,Annually,Sales,,,,Time,Region,,,,1,,34
Forecast Sales by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,,,,1,,35
Actual Sales by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,,,,1,,35
Forecast Volume by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,,,,1,,35
Actual Volume by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,,,,1,,35
Projected Size of Anticipated Customer Wins,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,Customer,,,1,,36
Notable Customer Wins,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,Customer,,,1,,36
Notable Customer Losses,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,Customer,,,1,,36
Global Accounts Sales Target,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,,1,,36
Global Accounts Actual Sales,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,,,,,1,,36
Current Non-Dealer Opportunity - Owner Name,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,Customer,Employee,,1,,37
Current Non-Dealer Opportunity - Customer Name,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,Customer,Employee,,1,,37
Current Non-Dealer Opportunity - Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,Customer,Employee,,1,,37
Current Non-Dealer Opportunity - Stage,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,Customer,Employee,,1,,37
Current Non-Dealer Opportunity - Win Probability,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,Customer,Employee,,1,,37
Product Family Sales by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Product Family,Region,,,1,,38
Product Family Planned Sales by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Product Family,Region,,,1,,38
Product Family Margin by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Product Family,Region,,,1,,38
Product Family Planned Margin by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Product Family,Region,,,1,,38
Product Family Discounts by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Product Family,Region,,,1,,38
Product Family Planned Discounts by Region,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Product Family,Region,,,1,,38
Sales Per Year to End Customer ,Customer and Sales Database,Monthly,Monthly,Sales,,,,Time,Region,Customer,,1,1,,39
Job Title of Respondant,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
Region of Respondant ,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
Company Size of Respondant,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
Aesthetic/Importance to Company of Respondant,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
Degree to Which Technology is Having an Impact on Respondant's Company,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
Degree to Which Technology is Having an Impact on Way of Working at Respondant's Company,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
Top Drivers of Change for Workplace Portfolio at Respondant's Company,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
Percent of Workplace Reconfigured Annually at Respondant's Company,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
Where Respondant Obtains Workplace Ideas,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
Most Important Things in Creating Workplaces Three Years From Now,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
Tools Company Offers to Let Teams Collaborate Virtually,Office Trends Survey,Annually,Annually,Research,,,,Time,Region,Customer Segment,,1,1,,41
